Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.24724674224853516	0	21.0625	10.7536936484	53.0	9.0	21.0625	10.7536936484	1011	1011
0.39797449111938477	1	22.3777777778	10.4014718806	52.0	10.0	22.3777777778	10.4014718806	1007	2018
0.5415747165679932	2	23.4651162791	14.7842607026	103.0	11.0	23.4651162791	14.7842607026	1009	3027
0.6898713111877441	3	23.4090909091	12.7730507885	66.0	10.0	23.4090909091	12.7730507885	1030	4057
0.8380579948425293	4	27.0512820513	16.0575067802	75.0	11.0	27.0512820513	16.0575067802	1055	5112
0.9852550029754639	5	25.0243902439	15.4042879758	77.0	10.0	25.0243902439	15.4042879758	1026	6138
1.1468517780303955	6	33.03125	20.7808270634	89.0	12.0	33.03125	20.7808270634	1057	7195
1.3203656673431396	7	34.09375	22.3318149943	124.0	13.0	34.09375	22.3318149943	1091	8286
1.4729537963867188	8	35.9285714286	21.7418762685	96.0	14.0	35.9285714286	21.7418762685	1006	9292
1.6208109855651855	9	30.4848484848	15.4706392732	66.0	11.0	30.4848484848	15.4706392732	1006	10298
1.7938776016235352	10	38.0740740741	21.0166176331	78.0	11.0	38.0740740741	21.0166176331	1028	11326
1.9548835754394531	11	37.4074074074	19.7976041559	82.0	12.0	37.4074074074	19.7976041559	1010	12336
2.1181447505950928	12	51.6	30.5178636212	139.0	16.0	51.6	30.5178636212	1032	13368
2.264249801635742	13	44.9130434783	27.0890849886	146.0	15.0	44.9130434783	27.0890849886	1033	14401
2.4135589599609375	14	52.1	30.1925487497	113.0	12.0	52.1	30.1925487497	1042	15443
2.5592525005340576	15	44.6086956522	23.5385698846	111.0	11.0	44.6086956522	23.5385698846	1026	16469
2.70078706741333	16	55.7222222222	29.8157407264	113.0	16.0	55.7222222222	29.8157407264	1003	17472
2.8471274375915527	17	52.8947368421	25.9977625289	121.0	17.0	52.8947368421	25.9977625289	1005	18477
2.993300676345825	18	52.7894736842	29.0309797274	128.0	21.0	52.7894736842	29.0309797274	1003	19480
3.1482362747192383	19	54.3684210526	23.6914608785	94.0	19.0	54.3684210526	23.6914608785	1033	20513
3.3066370487213135	20	59.6111111111	31.540342577	140.0	24.0	59.6111111111	31.540342577	1073	21586
